                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.2534,                 2.8883,                 1.6801,                 0.2428,                0.63333,                0.30858,                 0.1909,                 1.2682,                 16.131,                 1.7723,             0.00030006,             0.00030006,             0.00030006
                      1,                 1.3481,                 2.2823,                  1.667,                0.05474,                0.13333,                0.09197,                0.03408,                 2.5529,                 38.249,                 3.0345,             0.00061374,             0.00061374,             0.00061374
                      2,                 1.4084,                 2.2373,                 1.7719,                0.04854,                0.26667,                0.03224,                 0.0073,                 2.9665,                 26.506,                  3.933,             0.00092428,             0.00092428,             0.00092428
                      3,                 1.5119,                 2.2455,                 1.8032,                0.03266,                    0.2,                0.02114,                0.00647,                 3.1615,                 142.55,                 4.7091,              0.0012317,              0.0012317,              0.0012317
                      4,                 1.6906,                  2.416,                  1.976,                0.00323,                0.66667,                0.00341,                0.00121,                 3.6807,                    inf,                 49.952,               0.001536,               0.001536,               0.001536
                      5,                 1.6788,                 2.4688,                 1.9907,                0.00021,                    0.1,                0.00018,                  2e-05,                 4.4041,                    inf,                  48.37,              0.0016257,              0.0016257,              0.0016257
                      6,                   1.77,                 2.4524,                 2.0578,                0.00365,                0.53333,                0.00307,                0.00094,                 3.0353,                    inf,                 7.3599,              0.0016257,              0.0016257,              0.0016257
                      7,                  1.699,                 2.2324,                 2.0107,                0.05095,                    0.1,                0.03501,                  0.011,                 2.5975,                 11.605,                 3.7204,              0.0016175,              0.0016175,              0.0016175
                      8,                 1.6834,                 2.1965,                 1.9237,                0.00155,                0.43333,                0.00167,                0.00064,                 3.0569,                 127.49,                 6.4169,              0.0016092,              0.0016092,              0.0016092
                      9,                 1.6245,                 2.0928,                 1.9013,                0.06383,                0.06667,                0.02365,                0.01183,                 3.0202,                 6.2228,                 3.5506,               0.001601,               0.001601,               0.001601
                     10,                 1.6748,                 2.0782,                  1.951,                0.07533,                0.06667,                0.02326,                0.00666,                  3.162,                 6.5406,                 3.8731,              0.0015927,              0.0015927,              0.0015927
                     11,                 1.7133,                 2.0863,                 1.9564,                0.09258,                0.25105,                0.05264,                 0.0133,                 3.0687,                 5.2094,                 3.6954,              0.0015845,              0.0015845,              0.0015845
                     12,                 1.6276,                 1.9623,                 1.9078,                 0.1666,                    0.4,                0.21717,                0.11027,                 1.7462,                 3.2277,                 2.2309,              0.0015762,              0.0015762,              0.0015762
                     13,                 1.5863,                 1.8673,                 1.8328,                 0.3306,                0.53333,                0.30794,                0.13768,                 1.6526,                 2.5659,                 2.2857,               0.001568,               0.001568,               0.001568
                     14,                 1.6429,                 1.8769,                 1.9137,                0.37184,                 0.4271,                0.31928,                0.15311,                 1.8482,                 2.9046,                 2.5328,              0.0015597,              0.0015597,              0.0015597
                     15,                 1.5648,                 1.8545,                 1.8442,                0.31663,                0.46667,                0.36132,                0.19849,                 1.5265,                 2.3856,                 2.0976,              0.0015515,              0.0015515,              0.0015515
                     16,                 1.5204,                 1.6751,                 1.7742,                0.42428,                0.46667,                0.41331,                 0.1464,                  2.015,                 2.6936,                 2.6675,              0.0015432,              0.0015432,              0.0015432
                     17,                 1.5419,                 1.7826,                  1.827,                 0.5829,                0.54718,                0.56565,                0.25261,                 1.6549,                 2.2824,                 2.1461,               0.001535,               0.001535,               0.001535
                     18,                 1.5601,                 1.9572,                 1.8381,                0.33167,                0.73333,                 0.5262,                0.23864,                 1.7536,                 3.9701,                 2.1836,              0.0015267,              0.0015267,              0.0015267
                     19,                 1.5689,                 1.7587,                 1.8346,                0.62638,                0.33333,                 0.4468,                0.20026,                 1.6557,                 2.7344,                 2.0243,              0.0015185,              0.0015185,              0.0015185
                     20,                 1.5131,                 1.7139,                 1.7629,                0.33571,                    0.6,                0.41012,                0.16681,                 2.0111,                 3.0948,                 2.3893,              0.0015102,              0.0015102,              0.0015102
                     21,                 1.4891,                 1.6378,                 1.7633,                0.51961,                0.65013,                0.64782,                0.33786,                 1.4698,                 1.9319,                 1.8986,               0.001502,               0.001502,               0.001502
                     22,                 1.5121,                 1.6633,                 1.7751,                0.37429,                0.50003,                0.49482,                0.26173,                 1.5965,                 2.1259,                 2.0924,              0.0014937,              0.0014937,              0.0014937
                     23,                 1.4512,                 1.6243,                 1.7388,                0.48361,                0.66667,                0.60647,                0.32989,                 1.5225,                   1.59,                 2.0063,              0.0014855,              0.0014855,              0.0014855
                     24,                 1.4549,                 1.6409,                 1.7363,                0.57369,                0.56667,                0.54559,                0.25806,                 1.5565,                 1.9655,                 2.0517,              0.0014772,              0.0014772,              0.0014772
                     25,                 1.4546,                 1.5454,                 1.7341,                0.65634,                0.73333,                 0.7687,                 0.3894,                 1.4898,                 1.8143,                 1.9465,               0.001469,               0.001469,               0.001469
                     26,                 1.4562,                 1.5189,                 1.6817,                0.77831,                0.63333,                0.76256,                0.41835,                 1.4717,                 2.0121,                 1.9315,              0.0014607,              0.0014607,              0.0014607
                     27,                 1.4848,                 1.6671,                  1.698,                0.85911,                    0.7,                0.79891,                0.43037,                 1.5031,                 1.7387,                 1.9993,              0.0014525,              0.0014525,              0.0014525
                     28,                 1.4009,                  1.463,                 1.6843,                0.47724,                0.89885,                0.75387,                0.43067,                 1.3728,                 2.2808,                 1.7899,              0.0014442,              0.0014442,              0.0014442
                     29,                 1.4206,                  1.527,                 1.7054,                0.65633,                0.64112,                0.70265,                0.39113,                 1.3476,                 1.9809,                 1.7651,               0.001436,               0.001436,               0.001436
                     30,                 1.4401,                 1.5506,                 1.6901,                 0.6523,                    0.6,                 0.7154,                 0.3598,                 1.5523,                 1.6147,                  1.967,              0.0014277,              0.0014277,              0.0014277
                     31,                 1.3466,                 1.4774,                 1.6421,                0.60767,                0.72177,                0.73985,                0.37929,                 1.4273,                 1.3813,                 1.8262,              0.0014195,              0.0014195,              0.0014195
                     32,                  1.382,                 1.5222,                 1.6628,                0.69443,                0.64037,                0.72725,                0.40644,                  1.505,                 1.3558,                 1.9345,              0.0014112,              0.0014112,              0.0014112
                     33,                 1.3296,                 1.4275,                 1.5991,                0.47777,                0.78214,                0.63667,                0.32818,                 1.6428,                 1.5208,                 2.0284,              0.0014029,              0.0014029,              0.0014029
                     34,                 1.4004,                 1.4289,                 1.6796,                0.81724,                0.76667,                0.89703,                0.47628,                 1.4924,                 1.3041,                 1.9621,              0.0013947,              0.0013947,              0.0013947
                     35,                  1.327,                  1.336,                 1.6188,                0.65572,                0.77541,                 0.8005,                 0.4448,                 1.3878,                 1.4986,                 1.9161,              0.0013864,              0.0013864,              0.0013864
                     36,                 1.3144,                 1.3953,                 1.5757,                0.63839,                0.64849,                0.67163,                0.37317,                 1.6881,                 1.4816,                 2.1453,              0.0013782,              0.0013782,              0.0013782
                     37,                    1.3,                 1.3346,                 1.5531,                0.63341,                0.56667,                0.58898,                0.31993,                    1.7,                 1.5165,                 2.1078,              0.0013699,              0.0013699,              0.0013699
                     38,                 1.3844,                 1.4105,                 1.6185,                0.70061,                0.75872,                0.83333,                0.47431,                 1.2832,                 1.2115,                 1.7069,              0.0013617,              0.0013617,              0.0013617
                     39,                 1.2227,                  1.274,                 1.5238,                 0.7721,                0.58464,                0.78848,                0.51096,                 1.2547,                 1.4201,                 1.7038,              0.0013534,              0.0013534,              0.0013534
                     40,                 1.3432,                 1.3325,                 1.6139,                0.66847,                    0.7,                0.73398,                0.39936,                 1.3518,                 1.6543,                 1.8356,              0.0013452,              0.0013452,              0.0013452
                     41,                 1.2686,                 1.2308,                 1.5648,                0.66926,                0.86667,                0.81837,                0.49452,                 1.3471,                  1.162,                 1.7851,              0.0013369,              0.0013369,              0.0013369
                     42,                 1.2336,                 1.1943,                 1.5661,                0.88184,                0.76667,                0.87122,                0.58055,                 1.2326,                 1.0739,                 1.5846,              0.0013287,              0.0013287,              0.0013287
                     43,                 1.2761,                 1.2173,                 1.5794,                0.71441,                0.61034,                0.67564,                0.36101,                 1.4373,                 1.5775,                 1.8109,              0.0013204,              0.0013204,              0.0013204
                     44,                 1.2899,                 1.2664,                 1.6046,                0.66113,                0.53069,                0.57443,                0.27395,                 1.7024,                 2.0494,                 2.0954,              0.0013122,              0.0013122,              0.0013122
                     45,                  1.274,                 1.2363,                 1.5979,                0.71222,                    0.9,                0.89001,                0.55073,                 1.2122,                 1.1232,                 1.6325,              0.0013039,              0.0013039,              0.0013039
